Octopus_Gene	Human_Homolog	Percentage	E-value_octo2human
Ocbimv22000092m	MATN3	52.941	29.5
Ocbimv22015635m	TMPRSS2	52.941	29.5
Ocbimv22034929m	ADGRE5	50.0	29.5
Ocbimv22003309m	CCNK	48.0	29.5
Ocbimv22002835m	ELANE	45.833	29.5
Ocbimv22035009m	ADGRE2	42.857	29.5
Ocbimv22033979m	ITGBL1	42.105	29.5
Ocbimv22012957m	MEGF10	41.176	29.5
Ocbimv22003593m	CRELD1	40.0	29.5
Ocbimv22036295m	ADGRE5	39.13	29.5
Ocbimv22037523m	ISL1	38.462	29.5
Ocbimv22001562m	LTBP4	38.235	29.5
Ocbimv22020580m	FBLN2	34.615	29.5
Ocbimv22035917m	ULK1	29.63	29.5
Ocbimv22016506m	PIGX	28.571	29.5
Ocbimv22021518m	PRPF4	27.5	29.5
Ocbimv22030927m	MCTP1	73.333	29.8
Ocbimv22025100m	ICAM5	44.444	29.8
Ocbimv22000375m	PTPRD	42.857	29.8
Ocbimv22016879m	MUC2	77.778	29.9
Ocbimv22035360m	PRSS1	64.286	29.9
Ocbimv22006320m	MEGF6	61.538	29.9
Ocbimv22039442m	MUC2	58.824	29.9
Ocbimv22006109m	KLK3	55.556	29.9
Ocbimv22039226m	PPM1N	54.545	29.9
Ocbimv22010438m	SSTR4	47.826	29.9
Ocbimv22020570m	SLIT2	47.368	29.9
Ocbimv22034378m	MEGF11	45.0	29.9
Ocbimv22013375m	ISL2	42.857	29.9
Ocbimv22034536m	CELA1	39.394	29.9
Ocbimv22009165m	LRIG3	39.13	29.9
Ocbimv22016105m	KRTAP10-10	33.333	29.9
Ocbimv22021381m	KATNB1	32.432	29.9
Ocbimv22020578m	HMCN1	31.579	29.9
Ocbimv22020579m	HMCN1	31.579	29.9
Ocbimv22020581m	HMCN1	31.579	29.9
Ocbimv22020582m	HMCN1	31.579	29.9
Ocbimv22020583m	HMCN1	31.579	29.9
Ocbimv22020584m	HMCN1	31.579	29.9
Ocbimv22015509m	KRTAP10-7	28.205	29.9
Ocbimv22015632m	CTRL	28.125	29.9
Ocbimv22020576m	MEGF8	26.829	29.9
Ocbimv22011822m	CUBN	26.667	29.9
Ocbimv22005661m	ZFY	26.471	29.9
Ocbimv22021472m	ZNF799	34.483	30.2
Ocbimv22028580m	ROBO4	27.273	30.2
Ocbimv22022383m	ZNF490	32.5	30.3
Ocbimv22022384m	ZNF490	32.5	30.3
Ocbimv22027855m	STXBP5L	91.667	30.4
Ocbimv22018440m	CTRB1	90.909	30.4
Ocbimv22037761m	SCYGR10	75.0	30.4
Ocbimv22010715m	HNRNPA3	62.5	30.4
Ocbimv22005481m	HNRNPA3	58.333	30.4
Ocbimv22036785m	PRSS48	56.25	30.4
Ocbimv22021945m	ZFP3	55.556	30.4
Ocbimv22032967m	CELSR1	53.333	30.4
Ocbimv22009513m	MEGF10	52.941	30.4
Ocbimv22006108m	KLK1	50.0	30.4
Ocbimv22021358m	NPNT	50.0	30.4
Ocbimv22017342m	ELOVL6	48.0	30.4
Ocbimv22017343m	ELOVL6	48.0	30.4
Ocbimv22030792m	ELOVL7	47.826	30.4
Ocbimv22026653m	LRRN1	47.619	30.4
Ocbimv22005988m	SCYGR2	45.455	30.4
Ocbimv22013598m	CES2	43.478	30.4
Ocbimv22008390m	MEGF10	42.857	30.4
Ocbimv22017860m	CRB1	42.857	30.4
Ocbimv22000221m	MEGF6	42.105	30.4
Ocbimv22000620m	CTRB1	41.176	30.4
Ocbimv22014053m	PRB1	40.0	30.4
Ocbimv22031682m	SLC25A26	40.0	30.4
Ocbimv22031683m	SLC25A26	40.0	30.4
Ocbimv22037654m	DCLK2	40.0	30.4
Ocbimv22033829m	PLAU	37.037	30.4
Ocbimv22005577m	FBXW9	36.957	30.4
Ocbimv22016719m	JAG2	36.364	30.4
Ocbimv22019091m	ANKS1A	34.375	30.4
Ocbimv22019669m	NEK11	33.333	30.4
Ocbimv22023989m	NTSR1	33.333	30.4
Ocbimv22024703m	WDR86	32.432	30.4
Ocbimv22025262m	SNRK	30.769	30.4
Ocbimv22021865m	THSD7A	27.778	30.4
Ocbimv22025041m	MOK	24.324	30.4
Ocbimv22037566m	SDK1	32.558	30.5
Ocbimv22016409m	BCL3	38.889	30.6
Ocbimv22017900m	ADAMTSL1	21.053	30.6
Ocbimv22034928m	ADGRE2	58.824	30.8
Ocbimv22033068m	CD93	50.0	30.8
Ocbimv22021864m	THSD7A	43.478	30.8
Ocbimv22000309m	RACK1	41.379	30.8
Ocbimv22023631m	CELA3B	78.571	30.9
Ocbimv22035136m	HNRNPA3	75.0	30.9
Ocbimv22032343m	HNRNPA3	66.667	30.9
Ocbimv22021186m	INPP1	60.0	30.9
Ocbimv22021187m	INPP1	60.0	30.9
Ocbimv22035248m	NFXL1	56.25	30.9
Ocbimv22008049m	PHKG2	55.556	30.9
Ocbimv22028234m	CTSG	55.556	30.9
Ocbimv22004196m	ISL2	55.0	30.9
Ocbimv22021827m	MEGF11	53.333	30.9
Ocbimv22015634m	PRSS41	52.941	30.9
Ocbimv22021823m	FBN2	52.174	30.9
Ocbimv22025567m	ADGRD2	42.857	30.9
Ocbimv22028534m	GPR139	42.857	30.9
Ocbimv22013707m	PALLD	42.424	30.9
Ocbimv22000310m	RACK1	41.379	30.9
Ocbimv22023746m	CDK17	41.176	30.9
Ocbimv22023747m	CDK17	41.176	30.9
Ocbimv22022801m	JAG1	37.037	30.9
Ocbimv22018382m	SSTR4	36.667	30.9
Ocbimv22032867m	WSB2	35.484	30.9
Ocbimv22038714m	CRELD1	35.0	30.9
Ocbimv22011060m	TYW1B	34.375	30.9
Ocbimv22011061m	TYW1B	34.375	30.9
Ocbimv22015589m	DDX39B	34.286	30.9
Ocbimv22023961m	COL4A5	32.143	30.9
Ocbimv22027699m	TACR2	31.373	30.9
Ocbimv22021430m	MAK	25.641	30.9
Ocbimv22027978m	ROBO2	33.333	31.0
Ocbimv22027979m	ROBO2	33.333	31.0
Ocbimv22027980m	ROBO2	33.333	31.0
Ocbimv22027981m	ROBO2	33.333	31.0
Ocbimv22006239m	TCF4	33.333	31.1
Ocbimv22006240m	TCF4	33.333	31.1
Ocbimv22006241m	TCF4	33.333	31.1
Ocbimv22006242m	TCF4	33.333	31.1
Ocbimv22033831m	PODNL1	32.5	31.2
Ocbimv22033946m	OBSCN	32.143	31.2
Ocbimv22034129m	GOLGA6L22	26.562	31.2
Ocbimv22033828m	CTRL	73.333	31.3
Ocbimv22006618m	RSKR	66.667	31.3
Ocbimv22029861m	DDX55	63.158	31.3
Ocbimv22034794m	TMPRSS4	61.111	31.3
Ocbimv22003595m	EGFL6	58.824	31.3
Ocbimv22012287m	HACE1	54.839	31.3
Ocbimv22011821m	NOTCH2	52.941	31.3
Ocbimv22012949m	MUC2	52.632	31.3
Ocbimv22017169m	MARK3	50.0	31.3
Ocbimv22019946m	POC1A	46.429	31.3
Ocbimv22030142m	PRSS12	46.154	31.3
Ocbimv22028775m	CRB2	44.444	31.3
Ocbimv22009961m	FLT1	43.75	31.3
Ocbimv22027675m	CCDC15	41.379	31.3
Ocbimv22003783m	FGFR1	40.909	31.3
Ocbimv22037704m	PRPF4B	38.462	31.3
Ocbimv22037705m	PRPF4B	38.462	31.3
Ocbimv22037706m	PRPF4B	38.462	31.3
Ocbimv22037707m	PRPF4B	38.462	31.3
Ocbimv22005285m	SLIT2	37.931	31.3
Ocbimv22023459m	IGSF9B	37.143	31.3
Ocbimv22026776m	PRSS57	35.484	31.3
Ocbimv22000220m	NOTCH1	35.294	31.3
Ocbimv22000222m	NOTCH1	35.294	31.3
Ocbimv22000223m	NOTCH1	35.294	31.3
Ocbimv22035629m	WDR38	35.294	31.3
Ocbimv22035630m	WDR38	35.294	31.3
Ocbimv22001799m	GZMB	34.211	31.3
Ocbimv22025400m	ANKRD18A	30.909	31.3
Ocbimv22025401m	ANKRD18A	30.909	31.3
Ocbimv22025402m	ANKRD18A	30.909	31.3
Ocbimv22025403m	ANKRD18A	30.909	31.3
Ocbimv22025404m	ANKRD18A	30.909	31.3
Ocbimv22025405m	ANKRD18A	30.909	31.3
Ocbimv22025406m	ANKRD18A	30.909	31.3
Ocbimv22025407m	ANKRD18A	30.909	31.3
Ocbimv22036846m	MUC4	30.233	31.3
Ocbimv22035330m	MATN2	29.032	31.3
Ocbimv22035331m	MATN2	29.032	31.3
Ocbimv22019833m	WDR17	25.532	31.3
Ocbimv22023435m	RHOQ	19.403	31.3
Ocbimv22019218m	CDHR1	39.286	31.6
Ocbimv22028872m	RBM17	39.286	31.6
Ocbimv22012633m	CNTN2	47.826	31.7
Ocbimv22016612m	CCDC150	28.571	31.7
Ocbimv22016613m	CCDC150	28.571	31.7
Ocbimv22016614m	CCDC150	28.571	31.7
Ocbimv22018098m	TRIM42	27.5	31.7
Ocbimv22030532m	THSD7B	76.923	31.8
Ocbimv22024151m	MUC2	64.286	31.8
Ocbimv22015455m	SCUBE2	56.25	31.8
Ocbimv22016438m	SCYGR2	53.333	31.8
Ocbimv22016479m	UBE2W	52.381	31.8
Ocbimv22035765m	DSPP	50.0	31.8
Ocbimv22001612m	SYT7	47.826	31.8
Ocbimv22021791m	LTBP4	47.619	31.8
Ocbimv22001298m	CHRDL1	47.368	31.8
Ocbimv22018330m	KRT3	47.368	31.8
Ocbimv22027830m	GCGR	45.161	31.8
Ocbimv22003332m	ARL9	44.828	31.8
Ocbimv22025078m	OBSCN	44.828	31.8
Ocbimv22032309m	RRAD	44.828	31.8
Ocbimv22030648m	ANKRD6	44.444	31.8
Ocbimv22019087m	HIPK3	42.424	31.8
Ocbimv22016410m	LTBP1	41.667	31.8
Ocbimv22038378m	CXCR3	40.909	31.8
Ocbimv22007535m	KCP	40.0	31.8
Ocbimv22011233m	JAG1	40.0	31.8
Ocbimv22027807m	STS	38.71	31.8
Ocbimv22000094m	CCBE1	37.037	31.8
Ocbimv22025042m	MOK	36.667	31.8
Ocbimv22018502m	ZFP1	36.111	31.8
Ocbimv22019100m	NOTCH4	35.294	31.8
Ocbimv22023154m	WDR12	35.0	31.8
Ocbimv22001351m	EDNRA	34.483	31.8
Ocbimv22004919m	IGSF9B	33.333	31.8
Ocbimv22022800m	CRB1	33.333	31.8
Ocbimv22022802m	CRB1	33.333	31.8
Ocbimv22022803m	CRB1	33.333	31.8
Ocbimv22008422m	PTK2B	31.818	31.8
Ocbimv22008423m	PTK2B	31.818	31.8
Ocbimv22017001m	BRWD1	31.579	31.8
Ocbimv22035010m	SLIT2	31.25	31.8
Ocbimv22032139m	HNRNPA3	30.952	31.8
Ocbimv22030583m	ARSK	30.0	31.8
Ocbimv22037527m	GTPBP1	30.0	31.8
Ocbimv22000102m	KLK8	29.73	31.8
Ocbimv22035367m	KRTAP4-6	28.571	31.8
Ocbimv22035368m	KRTAP4-6	28.571	31.8
Ocbimv22035369m	KRTAP4-6	28.571	31.8
Ocbimv22015810m	KLK4	27.907	31.8
Ocbimv22016748m	TOMM70	27.419	31.8
Ocbimv22020713m	MAP3K19	26.829	31.8
Ocbimv22017780m	DDX1	60.0	31.9
Ocbimv22009671m	FAT2	35.135	31.9
Ocbimv22017781m	DDX1	60.0	32.0
Ocbimv22027605m	MYOM3	41.379	32.0
Ocbimv22027606m	MYOM3	41.379	32.0
Ocbimv22027607m	MYOM3	41.379	32.0
Ocbimv22027608m	MYOM3	41.379	32.0
Ocbimv22027609m	MYOM3	41.379	32.0
Ocbimv22027611m	MYOM3	41.379	32.0
Ocbimv22027612m	MYOM3	41.379	32.0
Ocbimv22027613m	MYOM3	41.379	32.0
Ocbimv22027614m	MYOM3	41.379	32.0
Ocbimv22027615m	MYOM3	41.379	32.0
Ocbimv22027616m	MYOM3	41.379	32.0
Ocbimv22035245m	ELN	28.986	32.0
Ocbimv22024394m	GOLGA4	24.675	32.0
Ocbimv22003415m	COL3A1	24.107	32.0
Ocbimv22003416m	COL3A1	24.107	32.0
Ocbimv22021698m	NSUN2	38.71	32.1
Ocbimv22027172m	CDH5	25.424	32.1
Ocbimv22011651m	SCYGR2	85.714	32.2
Ocbimv22003592m	SCUBE2	71.429	32.2
Ocbimv22011883m	ADGRE1	71.429	32.2
Ocbimv22018896m	METTL21A	70.588	32.2
Ocbimv22020571m	CD93	69.231	32.2
Ocbimv22006576m	LYN	68.75	32.2
Ocbimv22013406m	ZNF629	64.706	32.2
Ocbimv22039881m	LRP1	62.5	32.2
Ocbimv22037430m	THSD7A	58.824	32.2
Ocbimv22000636m	DHRS9	57.895	32.2
Ocbimv22036977m	ENTPD5	57.895	32.2
Ocbimv22027728m	CD46	56.25	32.2
Ocbimv22007726m	HNRNPA3	56.0	32.2
Ocbimv22034460m	BMP15	55.556	32.2
Ocbimv22035362m	ZRANB3	54.545	32.2
Ocbimv22035363m	ZRANB3	54.545	32.2
Ocbimv22013310m	OR56B2P	52.381	32.2
Ocbimv22022903m	TESK2	50.0	32.2
Ocbimv22029252m	PRSS8	50.0	32.2
Ocbimv22015406m	DSPP	47.368	32.2
Ocbimv22018500m	SNED1	47.368	32.2
Ocbimv22009516m	LTBP4	46.154	32.2
Ocbimv22015633m	TMPRSS12	45.455	32.2
Ocbimv22033774m	HNRNPA3	45.455	32.2
Ocbimv22031202m	PRKN	44.0	32.2
Ocbimv22038427m	description:novel	43.478	32.2
Ocbimv22006085m	ANGEL1	42.5	32.2
Ocbimv22006086m	ANGEL1	42.5	32.2
Ocbimv22011489m	NUAK1	42.308	32.2
Ocbimv22010555m	WDR12	41.935	32.2
Ocbimv22015409m	JAG1	41.667	32.2
Ocbimv22037933m	TNKS	41.667	32.2
Ocbimv22000378m	FGFR1	41.379	32.2
Ocbimv22039192m	RAP1B	40.625	32.2
Ocbimv22038643m	LRRD1	40.541	32.2
Ocbimv22006619m	RPS6KL1	40.0	32.2
Ocbimv22035152m	MEGF11	40.0	32.2
Ocbimv22035153m	MEGF11	40.0	32.2
Ocbimv22035154m	MEGF11	40.0	32.2
Ocbimv22035155m	MEGF11	40.0	32.2
Ocbimv22035156m	MEGF11	40.0	32.2
Ocbimv22035157m	MEGF11	40.0	32.2
Ocbimv22035158m	MEGF11	40.0	32.2
Ocbimv22035159m	MEGF11	40.0	32.2
Ocbimv22035161m	MEGF11	40.0	32.2
Ocbimv22035162m	MEGF11	40.0	32.2
Ocbimv22036749m	ZNF700	40.0	32.2
Ocbimv22033296m	NEK2	39.286	32.2
Ocbimv22033890m	ZNF142	39.286	32.2
Ocbimv22002201m	MKRN1	39.13	32.2
Ocbimv22006107m	GZMA	37.5	32.2
Ocbimv22027266m	ITSN2	37.5	32.2
Ocbimv22021289m	ADGRE5	35.714	32.2
Ocbimv22021290m	ADGRE5	35.714	32.2
Ocbimv22030858m	SNRK	35.135	32.2
Ocbimv22030859m	SNRK	35.135	32.2
Ocbimv22030860m	SNRK	35.135	32.2
Ocbimv22030861m	SNRK	35.135	32.2
Ocbimv22024614m	THSD7B	34.884	32.2
Ocbimv22000667m	NTSR1	34.615	32.2
Ocbimv22017451m	DSPP	34.483	32.2
Ocbimv22017452m	DSPP	34.483	32.2
Ocbimv22017453m	DSPP	34.483	32.2
Ocbimv22017454m	DSPP	34.483	32.2
Ocbimv22017455m	DSPP	34.483	32.2
Ocbimv22017456m	DSPP	34.483	32.2
Ocbimv22017457m	DSPP	34.483	32.2
Ocbimv22017458m	DSPP	34.483	32.2
Ocbimv22025015m	WDR3	32.5	32.2
Ocbimv22025016m	WDR3	32.5	32.2
Ocbimv22030378m	WSB2	32.353	32.2
Ocbimv22030379m	WSB2	32.353	32.2
Ocbimv22026884m	description:novel	31.034	32.2
Ocbimv22023293m	MYLK4	30.769	32.2
Ocbimv22029741m	JAG1	30.769	32.2
Ocbimv22017393m	CNTN2	30.556	32.2
Ocbimv22028670m	SLC25A45	29.787	32.2
Ocbimv22018501m	LTBP2	28.571	32.2
Ocbimv22021361m	ANK3	28.378	32.2
Ocbimv22030842m	HTR3E	27.273	32.2
Ocbimv22012634m	HSPG2	27.083	32.2
Ocbimv22018732m	CHL1	26.786	32.2
Ocbimv22038649m	ADAMTS9	26.415	32.2
Ocbimv22037852m	MYLK2	25.714	32.2
Ocbimv22007554m	MAGEE1	25.532	32.2
Ocbimv22000607m	C1R	24.561	32.2
Ocbimv22030828m	GHSR	23.881	32.2
Ocbimv22037578m	CDH26	44.0	32.4
Ocbimv22018358m	ZRANB3	68.421	32.5
Ocbimv22018359m	ZRANB3	68.421	32.5
Ocbimv22018360m	ZRANB3	68.421	32.5
Ocbimv22018362m	ZRANB3	68.421	32.5
Ocbimv22015779m	MSR1	56.522	32.5
Ocbimv22018361m	ZRANB3	68.421	32.6
Ocbimv22018363m	ZRANB3	68.421	32.6
Ocbimv22018364m	ZRANB3	68.421	32.6
Ocbimv22023623m	CA4	55.0	32.6
Ocbimv22039128m	ARHGAP18	50.0	32.6
Ocbimv22023466m	HMCN1	43.333	32.6
Ocbimv22018297m	KDM6B	70.0	32.7
Ocbimv22009517m	FBN2	61.111	32.7
Ocbimv22016377m	KDM6B	60.0	32.7
Ocbimv22003526m	SLC24A3	59.091	32.7
Ocbimv22013640m	B3GALNT1	56.522	32.7
Ocbimv22011220m	NOTCH1	56.25	32.7
Ocbimv22016414m	NBPF26	56.25	32.7
Ocbimv22037863m	MAP2K6	54.167	32.7
Ocbimv22037864m	MAP2K6	54.167	32.7
Ocbimv22037867m	MAP2K6	54.167	32.7
Ocbimv22037868m	MAP2K6	54.167	32.7
Ocbimv22037870m	MAP2K6	54.167	32.7
Ocbimv22000359m	DDX21	53.846	32.7
Ocbimv22017341m	ADAMTS1	52.632	32.7
Ocbimv22028482m	ADAMTS20	52.632	32.7
Ocbimv22035764m	VWCE	52.632	32.7
Ocbimv22024309m	SLC25A45	52.174	32.7
Ocbimv22007154m	MUC2	50.0	32.7
Ocbimv22012208m	MUC4	50.0	32.7
Ocbimv22016813m	KCP	50.0	32.7
Ocbimv22023946m	COL13A1	50.0	32.7
Ocbimv22024868m	AGTR2	50.0	32.7
Ocbimv22026959m	SLC25A1	48.485	32.7
Ocbimv22023162m	DDX56	48.276	32.7
Ocbimv22008544m	C1S	48.0	32.7
Ocbimv22015358m	CTRL	47.619	32.7
Ocbimv22023197m	FBN2	47.619	32.7
Ocbimv22028152m	BCKDK	46.429	32.7
Ocbimv22034436m	HRH4	46.429	32.7
Ocbimv22030198m	CD46	45.455	32.7
Ocbimv22003589m	CASKIN1	43.333	32.7
Ocbimv22006042m	CACNA2D4	41.667	32.7
Ocbimv22037124m	C1S	41.176	32.7
Ocbimv22013216m	TSPAN14	40.0	32.7
Ocbimv22006129m	TEP1	38.889	32.7
Ocbimv22036544m	FNTA	38.71	32.7
Ocbimv22003949m	PLA2G6	37.5	32.7
Ocbimv22033024m	COL5A2	37.143	32.7
Ocbimv22017467m	ATP1B2	36.364	32.7
Ocbimv22023908m	EML6	36.364	32.7
Ocbimv22031949m	ZNF462	36.364	32.7
Ocbimv22031950m	ZNF462	36.364	32.7
Ocbimv22004852m	ASB10	35.135	32.7
Ocbimv22039464m	SERPINA2	35.135	32.7
Ocbimv22002902m	PAPLN	34.884	32.7
Ocbimv22022087m	PEG3	34.615	32.7
Ocbimv22002039m	SCARF2	34.483	32.7
Ocbimv22000814m	ANGPTL5	34.286	32.7
Ocbimv22034424m	ISL2	34.286	32.7
Ocbimv22015078m	CNTN5	33.333	32.7
Ocbimv22037598m	APLNR	33.333	32.7
Ocbimv22008063m	DSPP	32.353	32.7
Ocbimv22020147m	MEGF6	32.258	32.7
Ocbimv22020148m	MEGF6	32.258	32.7
Ocbimv22020149m	MEGF6	32.258	32.7
Ocbimv22034195m	UCP2	31.25	32.7
Ocbimv22004386m	CD37	30.769	32.7
Ocbimv22030641m	TENM1	30.769	32.7
Ocbimv22006691m	SCUBE1	30.556	32.7
Ocbimv22025533m	ABL2	30.556	32.7
Ocbimv22022287m	TRAF7	30.303	32.7
Ocbimv22003260m	MUC17	30.0	32.7
Ocbimv22007538m	CRIM1	30.0	32.7
Ocbimv22017031m	RAB14	29.268	32.7
Ocbimv22036118m	COL6A3	29.032	32.7
Ocbimv22002901m	PRKCQ	28.571	32.7
Ocbimv22001732m	USP46	28.261	32.7
Ocbimv22030887m	SNRK	28.0	32.7
Ocbimv22025551m	ZNF407	26.667	32.7
Ocbimv22017484m	GPR15	25.0	32.7
Ocbimv22003587m	ASB14	24.658	32.7
Ocbimv22006562m	KSR2	23.256	32.7
Ocbimv22020103m	WDR38	22.951	32.7
Ocbimv22026027m	NPY2R	21.277	32.7
Ocbimv22019041m	TRAF3	20.896	32.7
Ocbimv22024308m	SLC25A32	20.339	32.7
Ocbimv22021200m	KMT2D	55.556	32.8
Ocbimv22021201m	KMT2D	55.556	32.8
Ocbimv22009787m	ZNF708	38.889	32.8
Ocbimv22015115m	ZNF236	31.429	32.9
Ocbimv22000685m	MACF1	29.545	32.9
Ocbimv22007209m	ADAMTS19	45.455	33.0
Ocbimv22000320m	PPM1G	36.842	33.0
Ocbimv22034097m	PCDHA6	27.907	33.0
Ocbimv22015247m	SETMAR	85.714	33.1
Ocbimv22023042m	TMEM67	68.75	33.1
Ocbimv22030994m	COL4A1	64.706	33.1
Ocbimv22020274m	ACHE	62.5	33.1
Ocbimv22021788m	ADGRE5	57.895	33.1
Ocbimv22017728m	SERPING1	55.556	33.1
Ocbimv22039270m	NRXN3	54.545	33.1
Ocbimv22039271m	NRXN3	54.545	33.1
